타임,type,X,Y
1,A,-15,15
2,A,15,15
3,A,15,-15
4,A,-60,0
5,A,-120,0
6,B,-180,0
7,A,0,0
8,A,60,0
9,A,120,0
10,B,180,0
11,A,0,0
12,A,0,60
13,A,0,120
14,B,0,180
15,A,0,120
16,A,0,60
17,A,0,0
18,A,0,-30
19,A,0,-80
20,B,0,-130
21,A,0,0
22,A,0,60
23,A,0,120
24,B,0,180
25,A,0,0
26,A,20,20
27,B,0,0
28,A,20,-30
29,B,-40,0
30,B,-150,0
31,A,-160,0
32,A,-150,10
33,A,-140,30
34,A,-130,50
35,A,0,0
36,B,150,0
37,A,160,0
38,A,150,20
39,A,150,-10
40,A,140,20
41,A,120,40
42,A,110,30
43,B,30,15
44,A,10,25
45,A,-10,30
46,A,0,60
47,A,0,120
48,B,0,180
49,A,180,150
50,A,180,120
51,A,180,90
52,B,180,60
53,A,180,90
54,A,180,120
55,A,180,150
56,A,0,180
57,A,-180,150
58,A,-180,120
59,A,-180,90
60,B,-180,60
61,A,-180,90
62,A,-180,120
63,A,-180,150
64,A,0,180
65,A,0,120
66,A,0,60
67,B,0,0
